dataorigin,N_participants,mean_age,min_age,max_age,N_bilinguals
AFR/XHO,221,4.59,4.17,5.08,0
CAN-Ali,20,8.76,8,9.5,600
Catalunya-Spain,70,6.27,4.17,7.92,2100
Cro-Gordana,91,7.41,5.08,9,0
Cyp-Sviatlana,40,5,4,6,1200
DEU-Gol,62,8.05,6.5,10.5,0
ELL_DEU_Tsel,72,7.19,6.17,8,1515
ENG-Per,43,7.65,4.17,13.92,0
Est-ReiAnd,27,6.01,4.58,7.17,180
Fin-Sari,55,5.83,5,6.92,480
Geo-Dato,20,5.31,4,6.42,0
Ger-ZAS,146,5.23,3.75,7.67,3375
Gha-Gloria,40,6.72,5,8.58,2325
Hkg-Angel,24,9.14,6.67,12.08,2865
IND-Mgr,33,9.39,8.83,10.67,1380
IND-Uma,107,11.81,10.17,13.5,6399
IRL-Stasha,35,6.73,5.25,8,930
IRN-Ali,61,4.5,3.83,5.17,0
Isr-Sveta,44,5.83,4.67,6.42,749
Ita-Cor,55,10.15,7,14,1650
Ita-Maja,87,6,5,7.17,3675
KOR-Sun,522,8.6,4,12.75,1500
Kaz-Amirkul,34,6.7,5.42,7.42,1320
Kristine Jensen de Lopez(Jonas Maigaard),72,7.11,6.08,8.92,0
Lith-Ineta,28,5.73,4.17,7.25,705
MAN-Wen,19,6.95,5.5,7.42,1110
NLD-ElmaTessel,127,6.08,4.5,8.92,1200
Phil-Kathleen,18,8.99,5.33,11,1080
Pol-Aga,83,5.75,4.17,6.92,1185
RUS-GER,34,5.96,4.92,6.75,0
Rus-Elena,25,4.61,3.42,5,0
SGP-Sun,61,4.91,3,6.58,1830
Sgaelic-Vicky,15,7.42,6.25,8.08,450
Slo-Monika,56,4.99,3.08,6.92,0
Slo-Svetlana,64,5.91,5,6.92,5130
Swe-Josefin,72,5.43,4,6.83,0
Swe-Ute,64,6.18,4.83,7.67,1455
TJK-,20,10.67,6.83,13.83,675
UKR_RUS_iefrem_alkhim,19,7.72,5.92,9.75,1048
Uga-Celestino,24,9.46,7.25,12.67,720
Yakut-Yuliya,30,7.22,6.33,8,1800
