child,testlanguage,age,item,response,mode,test_lang_status,ling,region
ch1088or1,eng,100,ist,1,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,goal,0,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,attempt,1,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,outcome,1,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,ist,1,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,ist,0,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,goal,0,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,attempt,1,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,outcome,1,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,ist,1,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,ist,1,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,goal,1,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,attempt,1,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,outcome,1,retelling,L2,Bilingual,Canada
ch1088or1,eng,100,ist,1,retelling,L2,Bilingual,Canada
ch1088or1,per,100,ist,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,goal,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,attempt,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,outcome,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,ist,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,ist,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,goal,0,retelling,L1,Bilingual,Canada
ch1088or1,per,100,attempt,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,outcome,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,ist,0,retelling,L1,Bilingual,Canada
ch1088or1,per,100,ist,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,goal,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,attempt,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,outcome,1,retelling,L1,Bilingual,Canada
ch1088or1,per,100,ist,0,retelling,L1,Bilingual,Canada
ch1089or1,eng,104,ist,1,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,goal,0,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,attempt,1,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,outcome,1,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,ist,1,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,ist,1,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,goal,1,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,attempt,1,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,outcome,0,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,ist,1,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,ist,1,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,goal,1,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,attempt,1,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,outcome,0,retelling,L2,Bilingual,Canada
ch1089or1,eng,104,ist,1,retelling,L2,Bilingual,Canada
ch1089or1,per,104,ist,1,retelling,L1,Bilingual,Canada
ch1089or1,per,104,goal,1,retelling,L1,Bilingual,Canada
ch1089or1,per,104,attempt,1,retelling,L1,Bilingual,Canada
ch1089or1,per,104,outcome,1,retelling,L1,Bilingual,Canada
ch1089or1,per,104,ist,0,retelling,L1,Bilingual,Canada
ch1089or1,per,104,ist,1,retelling,L1,Bilingual,Canada
ch1089or1,per,104,goal,0,retelling,L1,Bilingual,Canada
ch1089or1,per,104,attempt,0,retelling,L1,Bilingual,Canada
ch1089or1,per,104,outcome,1,retelling,L1,Bilingual,Canada
ch1089or1,per,104,ist,1,retelling,L1,Bilingual,Canada
ch1089or1,per,104,ist,1,retelling,L1,Bilingual,Canada
ch1089or1,per,104,goal,0,retelling,L1,Bilingual,Canada
ch1089or1,per,104,attempt,0,retelling,L1,Bilingual,Canada
ch1089or1,per,104,outcome,1,retelling,L1,Bilingual,Canada
ch1089or1,per,104,ist,1,retelling,L1,Bilingual,Canada
ch1090or1,per,106,ist,1,retelling,L1,Bilingual,Canada
ch1090or1,per,106,goal,1,retelling,L1,Bilingual,Canada
ch1090or1,per,106,attempt,1,retelling,L1,Bilingual,Canada
ch1090or1,per,106,outcome,1,retelling,L1,Bilingual,Canada
ch1090or1,per,106,ist,1,retelling,L1,Bilingual,Canada
ch1090or1,per,106,ist,1,retelling,L1,Bilingual,Canada
