child,L1,L2,testlanguage,age,story,item,response,mode,test_lang_status,ling
ch2376or2,Persian,English,eng,100,cat,ist,1,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,goal,0,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,attempt,1,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,outcome,1,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,ist,1,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,ist,0,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,goal,0,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,attempt,1,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,outcome,1,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,ist,1,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,ist,1,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,goal,1,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,attempt,1,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,outcome,1,retelling,L2,Bilingual
ch2376or2,Persian,English,eng,100,cat,ist,1,retelling,L2,Bilingual
ch2376or2,Persian,English,per,100,dog,ist,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,goal,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,attempt,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,outcome,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,ist,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,ist,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,goal,0,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,attempt,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,outcome,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,ist,0,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,ist,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,goal,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,attempt,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,outcome,1,retelling,L1,Bilingual
ch2376or2,Persian,English,per,100,dog,ist,0,retelling,L1,Bilingual
ch2377or2,Persian,English,eng,104,dog,ist,1,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,goal,0,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,attempt,1,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,outcome,1,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,ist,1,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,ist,1,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,goal,1,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,attempt,1,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,outcome,0,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,ist,1,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,ist,1,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,goal,1,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,attempt,1,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,outcome,0,retelling,L2,Bilingual
ch2377or2,Persian,English,eng,104,dog,ist,1,retelling,L2,Bilingual
ch2377or2,Persian,English,per,104,cat,ist,1,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,goal,1,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,attempt,1,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,outcome,1,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,ist,0,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,ist,1,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,goal,0,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,attempt,0,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,outcome,1,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,ist,1,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,ist,1,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,goal,0,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,attempt,0,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,outcome,1,retelling,L1,Bilingual
ch2377or2,Persian,English,per,104,cat,ist,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,ist,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,goal,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,attempt,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,outcome,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,ist,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,ist,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,goal,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,attempt,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,outcome,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,ist,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,ist,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,goal,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,attempt,0,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,outcome,1,retelling,L1,Bilingual
ch2378or2,Persian,English,per,106,cat,ist,1,retelling,L1,Bilingual
ch2378or2,Persian,English,eng,106,dog,ist,1,retelling,L2,Bilingual
ch2378or2,Persian,English,eng,106,dog,goal,1,retelling,L2,Bilingual
ch2378or2,Persian,English,eng,106,dog,attempt,0,retelling,L2,Bilingual
ch2378or2,Persian,English,eng,106,dog,outcome,1,retelling,L2,Bilingual
ch2378or2,Persian,English,eng,106,dog,ist,0,retelling,L2,Bilingual
ch2378or2,Persian,English,eng,106,dog,ist,1,retelling,L2,Bilingual
ch2378or2,Persian,English,eng,106,dog,goal,1,retelling,L2,Bilingual
ch2378or2,Persian,English,eng,106,dog,attempt,1,retelling,L2,Bilingual
ch2378or2,Persian,English,eng,106,dog,outcome,1,retelling,L2,Bilingual
