child,testlanguage,age,narrative,complete,mode,test_lang_status,ling
ch2386or2,eng,100,nar_1,1,retelling,L2,Bilingual
ch2386or2,eng,100,nar_2,0,retelling,L2,Bilingual
ch2386or2,eng,100,nar_3,1,retelling,L2,Bilingual
ch2386or2,per,100,nar_1,1,retelling,L1,Bilingual
ch2386or2,per,100,nar_2,1,retelling,L1,Bilingual
ch2386or2,per,100,nar_3,1,retelling,L1,Bilingual
ch2387or2,eng,104,nar_1,1,retelling,L2,Bilingual
ch2387or2,eng,104,nar_2,0,retelling,L2,Bilingual
ch2387or2,eng,104,nar_3,0,retelling,L2,Bilingual
ch2387or2,per,104,nar_1,1,retelling,L1,Bilingual
ch2387or2,per,104,nar_2,0,retelling,L1,Bilingual
ch2387or2,per,104,nar_3,0,retelling,L1,Bilingual
ch2388or2,per,106,nar_1,1,retelling,L1,Bilingual
ch2388or2,per,106,nar_2,1,retelling,L1,Bilingual
ch2388or2,per,106,nar_3,0,retelling,L1,Bilingual
ch2388or2,eng,106,nar_1,0,retelling,L2,Bilingual
ch2388or2,eng,106,nar_2,1,retelling,L2,Bilingual
ch2388or2,eng,106,nar_3,0,retelling,L2,Bilingual
ch2389or2,per,112,nar_1,1,retelling,L1,Bilingual
ch2389or2,per,112,nar_2,1,retelling,L1,Bilingual
ch2389or2,per,112,nar_3,1,retelling,L1,Bilingual
ch2389or2,eng,112,nar_1,0,retelling,L2,Bilingual
ch2389or2,eng,112,nar_2,0,retelling,L2,Bilingual
ch2389or2,eng,112,nar_3,0,retelling,L2,Bilingual
ch2390or2,eng,97,nar_1,1,retelling,L2,Bilingual
ch2390or2,eng,97,nar_2,1,retelling,L2,Bilingual
ch2390or2,eng,97,nar_3,1,retelling,L2,Bilingual
ch2390or2,per,97,nar_1,0,retelling,L1,Bilingual
ch2390or2,per,97,nar_2,0,retelling,L1,Bilingual
ch2390or2,per,97,nar_3,1,retelling,L1,Bilingual
ch2391or2,per,108,nar_1,1,retelling,L1,Bilingual
ch2391or2,per,108,nar_2,1,retelling,L1,Bilingual
ch2391or2,per,108,nar_3,0,retelling,L1,Bilingual
ch2391or2,eng,108,nar_1,1,retelling,L2,Bilingual
ch2391or2,eng,108,nar_2,0,retelling,L2,Bilingual
ch2391or2,eng,108,nar_3,0,retelling,L2,Bilingual
ch2392or2,per,108,nar_1,0,retelling,L1,Bilingual
ch2392or2,per,108,nar_2,1,retelling,L1,Bilingual
ch2392or2,per,108,nar_3,1,retelling,L1,Bilingual
ch2392or2,eng,108,nar_1,1,retelling,L2,Bilingual
ch2392or2,eng,108,nar_2,1,retelling,L2,Bilingual
ch2392or2,eng,108,nar_3,1,retelling,L2,Bilingual
ch2393or2,per,108,nar_1,1,retelling,L1,Bilingual
ch2393or2,per,108,nar_2,1,retelling,L1,Bilingual
ch2393or2,per,108,nar_3,1,retelling,L1,Bilingual
ch2393or2,eng,108,nar_1,1,retelling,L2,Bilingual
ch2393or2,eng,108,nar_2,1,retelling,L2,Bilingual
ch2393or2,eng,108,nar_3,1,retelling,L2,Bilingual
ch2394or2,per,100,nar_1,1,retelling,L1,Bilingual
ch2394or2,per,100,nar_2,1,retelling,L1,Bilingual
ch2394or2,per,100,nar_3,1,retelling,L1,Bilingual
ch2394or2,eng,100,nar_1,1,retelling,L2,Bilingual
ch2394or2,eng,100,nar_2,0,retelling,L2,Bilingual
ch2394or2,eng,100,nar_3,0,retelling,L2,Bilingual
ch2395or2,per,96,nar_1,0,retelling,L1,Bilingual
ch2395or2,per,96,nar_2,0,retelling,L1,Bilingual
ch2395or2,per,96,nar_3,0,retelling,L1,Bilingual
ch2395or2,eng,96,nar_1,0,retelling,L2,Bilingual
ch2395or2,eng,96,nar_2,1,retelling,L2,Bilingual
ch2395or2,eng,96,nar_3,0,retelling,L2,Bilingual
ch2396or2,eng,103,nar_1,0,retelling,L2,Bilingual
ch2396or2,eng,103,nar_2,1,retelling,L2,Bilingual
ch2396or2,eng,103,nar_3,1,retelling,L2,Bilingual
ch2396or2,per,103,nar_1,1,retelling,L1,Bilingual
ch2396or2,per,103,nar_2,0,retelling,L1,Bilingual
ch2396or2,per,103,nar_3,1,retelling,L1,Bilingual
ch2397or2,eng,104,nar_1,0,retelling,L2,Bilingual
ch2397or2,eng,104,nar_2,1,retelling,L2,Bilingual
ch2397or2,eng,104,nar_3,0,retelling,L2,Bilingual
ch2397or2,per,104,nar_1,0,retelling,L1,Bilingual
ch2397or2,per,104,nar_2,0,retelling,L1,Bilingual
ch2397or2,per,104,nar_3,0,retelling,L1,Bilingual
ch2398or2,eng,96,nar_1,1,retelling,L2,Bilingual
ch2398or2,eng,96,nar_2,1,retelling,L2,Bilingual
ch2398or2,eng,96,nar_3,0,retelling,L2,Bilingual
ch2398or2,per,96,nar_1,0,retelling,L1,Bilingual
ch2398or2,per,96,nar_2,0,retelling,L1,Bilingual
ch2398or2,per,96,nar_3,1,retelling,L1,Bilingual
ch2399or2,eng,108,nar_1,1,retelling,L2,Bilingual
ch2399or2,eng,108,nar_2,1,retelling,L2,Bilingual
ch2399or2,eng,108,nar_3,0,retelling,L2,Bilingual
ch2399or2,per,108,nar_1,1,retelling,L1,Bilingual
ch2399or2,per,108,nar_2,0,retelling,L1,Bilingual
ch2399or2,per,108,nar_3,0,retelling,L1,Bilingual
ch2400or2,eng,107,nar_1,1,retelling,L2,Bilingual
ch2400or2,eng,107,nar_2,1,retelling,L2,Bilingual
ch2400or2,eng,107,nar_3,1,retelling,L2,Bilingual
ch2400or2,per,107,nar_1,0,retelling,L1,Bilingual
ch2400or2,per,107,nar_2,0,retelling,L1,Bilingual
ch2400or2,per,107,nar_3,1,retelling,L1,Bilingual
ch2401or2,eng,99,nar_1,1,retelling,L2,Bilingual
ch2401or2,eng,99,nar_2,1,retelling,L2,Bilingual
ch2401or2,eng,99,nar_3,1,retelling,L2,Bilingual
ch2401or2,per,99,nar_1,1,retelling,L1,Bilingual
ch2401or2,per,99,nar_2,1,retelling,L1,Bilingual
ch2401or2,per,99,nar_3,1,retelling,L1,Bilingual
ch2402or2,per,113,nar_1,1,retelling,L1,Bilingual
ch2402or2,per,113,nar_2,1,retelling,L1,Bilingual
ch2402or2,per,113,nar_3,1,retelling,L1,Bilingual
ch2402or2,eng,113,nar_1,1,retelling,L2,Bilingual
ch2402or2,eng,113,nar_2,1,retelling,L2,Bilingual
ch2402or2,eng,113,nar_3,1,retelling,L2,Bilingual
ch2403or2,eng,111,nar_1,1,retelling,L2,Bilingual
ch2403or2,eng,111,nar_2,1,retelling,L2,Bilingual
ch2403or2,eng,111,nar_3,0,retelling,L2,Bilingual
ch2403or2,per,111,nar_1,1,retelling,L1,Bilingual
ch2403or2,per,111,nar_2,0,retelling,L1,Bilingual
ch2403or2,per,111,nar_3,0,retelling,L1,Bilingual
ch2404or2,eng,109,nar_1,1,retelling,L2,Bilingual
ch2404or2,eng,109,nar_2,1,retelling,L2,Bilingual
ch2404or2,eng,109,nar_3,1,retelling,L2,Bilingual
ch2404or2,per,109,nar_1,0,retelling,L1,Bilingual
ch2404or2,per,109,nar_2,0,retelling,L1,Bilingual
ch2404or2,per,109,nar_3,0,retelling,L1,Bilingual
ch2405or2,per,114,nar_1,1,retelling,L1,Bilingual
ch2405or2,per,114,nar_2,1,retelling,L1,Bilingual
ch2405or2,per,114,nar_3,1,retelling,L1,Bilingual
ch2405or2,eng,114,nar_1,1,retelling,L2,Bilingual
ch2405or2,eng,114,nar_2,1,retelling,L2,Bilingual
ch2405or2,eng,114,nar_3,1,retelling,L2,Bilingual
ch2017or4,hrv,78,nar_1,0,telling,L1,Monolingual
ch2017or4,hrv,78,nar_2,0,telling,L1,Monolingual
ch2017or4,hrv,78,nar_3,0,telling,L1,Monolingual
ch2018or4,hrv,74,nar_1,0,telling,L1,Monolingual
ch2018or4,hrv,74,nar_2,0,telling,L1,Monolingual
ch2018or4,hrv,74,nar_3,0,telling,L1,Monolingual
ch2019or4,hrv,72,nar_1,0,telling,L1,Monolingual
ch2019or4,hrv,72,nar_2,0,telling,L1,Monolingual
ch2019or4,hrv,72,nar_3,0,telling,L1,Monolingual
ch2020or4,hrv,77,nar_1,0,telling,L1,Monolingual
ch2020or4,hrv,77,nar_2,0,telling,L1,Monolingual
ch2020or4,hrv,77,nar_3,0,telling,L1,Monolingual
ch2021or4,hrv,68,nar_1,1,telling,L1,Monolingual
ch2021or4,hrv,68,nar_2,0,telling,L1,Monolingual
ch2021or4,hrv,68,nar_3,0,telling,L1,Monolingual
ch2022or4,hrv,72,nar_1,0,telling,L1,Monolingual
ch2022or4,hrv,72,nar_2,0,telling,L1,Monolingual
ch2022or4,hrv,72,nar_3,0,telling,L1,Monolingual
ch2023or4,hrv,76,nar_1,0,telling,L1,Monolingual
ch2023or4,hrv,76,nar_2,0,telling,L1,Monolingual
ch2023or4,hrv,76,nar_3,0,telling,L1,Monolingual
ch2024or4,hrv,76,nar_1,0,telling,L1,Monolingual
ch2024or4,hrv,76,nar_2,0,telling,L1,Monolingual
ch2024or4,hrv,76,nar_3,0,telling,L1,Monolingual
ch2025or4,hrv,76,nar_1,0,telling,L1,Monolingual
ch2025or4,hrv,76,nar_2,1,telling,L1,Monolingual
ch2025or4,hrv,76,nar_3,0,telling,L1,Monolingual
ch2026or4,hrv,79,nar_1,0,telling,L1,Monolingual
ch2026or4,hrv,79,nar_2,0,telling,L1,Monolingual
ch2026or4,hrv,79,nar_3,0,telling,L1,Monolingual
ch2027or4,hrv,78,nar_1,0,telling,L1,Monolingual
ch2027or4,hrv,78,nar_2,1,telling,L1,Monolingual
ch2027or4,hrv,78,nar_3,0,telling,L1,Monolingual
ch2028or4,hrv,78,nar_1,0,telling,L1,Monolingual
ch2028or4,hrv,78,nar_2,0,telling,L1,Monolingual
ch2028or4,hrv,78,nar_3,1,telling,L1,Monolingual
ch2029or4,hrv,73,nar_1,0,telling,L1,Monolingual
ch2029or4,hrv,73,nar_2,0,telling,L1,Monolingual
ch2029or4,hrv,73,nar_3,0,telling,L1,Monolingual
ch2030or4,hrv,80,nar_1,0,telling,L1,Monolingual
ch2030or4,hrv,80,nar_2,0,telling,L1,Monolingual
ch2030or4,hrv,80,nar_3,0,telling,L1,Monolingual
ch2031or4,hrv,80,nar_1,0,telling,L1,Monolingual
ch2031or4,hrv,80,nar_2,0,telling,L1,Monolingual
ch2031or4,hrv,80,nar_3,0,telling,L1,Monolingual
ch2032or4,hrv,77,nar_1,1,telling,L1,Monolingual
ch2032or4,hrv,77,nar_2,0,telling,L1,Monolingual
ch2032or4,hrv,77,nar_3,0,telling,L1,Monolingual
ch2033or4,hrv,74,nar_1,0,telling,L1,Monolingual
ch2033or4,hrv,74,nar_2,1,telling,L1,Monolingual
ch2033or4,hrv,74,nar_3,0,telling,L1,Monolingual
ch2034or4,hrv,68,nar_1,0,telling,L1,Monolingual
ch2034or4,hrv,68,nar_2,0,telling,L1,Monolingual
ch2034or4,hrv,68,nar_3,0,telling,L1,Monolingual
ch2035or4,hrv,79,nar_1,0,telling,L1,Monolingual
ch2035or4,hrv,79,nar_2,0,telling,L1,Monolingual
ch2035or4,hrv,79,nar_3,0,telling,L1,Monolingual
ch2036or4,hrv,83,nar_1,0,telling,L1,Monolingual
ch2036or4,hrv,83,nar_2,0,telling,L1,Monolingual
ch2036or4,hrv,83,nar_3,0,telling,L1,Monolingual
ch2037or4,hrv,83,nar_1,0,telling,L1,Monolingual
ch2037or4,hrv,83,nar_2,0,telling,L1,Monolingual
ch2037or4,hrv,83,nar_3,0,telling,L1,Monolingual
ch2038or4,hrv,78,nar_1,0,telling,L1,Monolingual
ch2038or4,hrv,78,nar_2,1,telling,L1,Monolingual
ch2038or4,hrv,78,nar_3,0,telling,L1,Monolingual
ch2039or4,hrv,78,nar_1,1,telling,L1,Monolingual
ch2039or4,hrv,78,nar_2,1,telling,L1,Monolingual
